id_sp,kab_kota_pt,provinsi_pt,akreditasi,nama_singkat,status_pt,nama_pt,jenis_pt,jumlah_prodi,range_biaya_kuliah
3HQ0xHk0n_sNlY4PYXM3KS2QtcCqqBovscRq7fHf74Dnc3lRzQAsRDdzefyvCpah9HDmqg==,Kota Gorontalo,Prov. Gorontalo,Baik,STMIK Ichsan,Alih Bentuk,Sekolah Tinggi Manajemen Informatika dan Komputer Ichsan Gorontalo,Swasta,5,
PeaYHoRsXP7PKRyAwmqH60SXNQVXMdvknRmi5MOoZeD2xWio6zxJXOEoikAqhrP6yvX2xw==,Kota Payakumbuh,Prov. Sumatera Barat,Baik,STT-PAYAKUMBUH,Aktif,Sekolah Tinggi Teknologi Payakumbuh,Swasta,3,
_PaJSgZ9c2ooMF2Ytfp0DvwTVhw6fnAsgOcan28PSEJE51EBLDdeUVBKT_MZhpGaocHjrg==,Kab. Tabanan,Prov. Bali,B,IKIP SARASWATI,Aktif,IKIP Saraswati,Swasta,7,3.190.000 - 5.000.000
tSX4V5ICGS7tnnY-aCLPrQ5PbJKGl-iAkciuHhJsoxC95pNgKNZArXfbjFDz8QiO5zRQgg==,Kab. Sumenep,Prov. Jawa Timur,Baik,UA,Aktif,Universitas Annuqayah,Swasta,8,
_-r4w6SGeEopYt5d1W_eVviB03RoaQE7ZdavoXjX5K928WV02Qi6Co7rC-tXEl-OAJxTUw==,Kota Surabaya,Prov. Jawa Timur,Baik,STT Sabda Agung,Aktif,Sekolah Tinggi Teologi Sabda Agung (STTSA),Agama,2,
SHS1S5dDeSKVJyi0GD0jxfTW-D1QdaQQtr1ryllkoTND3iZv1gqzoEvfucFcUHghdL9BOg==,Kab. Kudus,Prov. Jawa Tengah,,,Alih Bentuk,Akademi Keperawatan Krida Husada,Swasta,1,
kgQaEqfLPrSQC_P51UOkO9gPoy0Gt_7EqK-qiQ0whdLigt1D5XTzCYZo7nk_XHeRzwTSRQ==,Kota Kendari,Prov. Sulawesi Tenggara,,,Alih Bentuk,Akademi Kesehatan Gigi Kendari,Swasta,1,
-esNm2tzu1nIhN1_HzzKnoAOowHN7Nd93rB1WKqqTQnBoxvilbYFBXXYB2o4qutlXBYJEA==,Kota Surabaya,Prov. Jawa Timur,,,Tutup,Akademi Kuliner Monas Pasifik,Swasta,1,
YtUhVm3HKhYS7y84mW0ZnFtLmhhRfYaKeIHEbNBDe24en5_bJ5E7LjbWnB_0JyXMru7Vwg==,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik,Prasmul,Aktif,Universitas Prasetiya Mulya,Swasta,13,1.000.000 - 12.000.000
9DB59UxkmoXejwgf9Af1f8DHpLgg-hLN9JYtPnpgEc4p6_gX_ezIXz0jS73UIW6JtH5lcQ==,Kota Tasikmalaya,Prov. Jawa Barat,Baik,UMTAS,Aktif,Universitas Muhammadiyah Tasikmalaya,Swasta,15,100.000 - 12.880.000
4ZqdxaU4hWNv90Gi1W3kri4armi_QGdVd6Vtlw11eVZsKRgatuVdGiT8bqzorabj3S5CYw==,Kota Sukabumi,Prov. Jawa Barat,Baik,IMWI,Aktif,Institut Manajemen Wiyata Indonesia,Swasta,6,
NLnFYu9BaTVeQReK4Q5VmidpW7n8nVRlHqFsQO4Zc0n9TH1vODNt4jg5mrowbz02IYi0dA==,Kota Lhokseumawe,Prov. Aceh,,ASM T. Rencong,Tutup,Akademi Sekretari Manajemen Tanah Rencong,Swasta,1,
JRd7RtQnE-4rEJkv3QH8a8WMKzdFxs7wcUYRddg0NEqDRWdGAq3nx8kEiZ7pCzUJsj_pgA==,Kota Makassar,Prov. Sulawesi Selatan,,Akper Muhammadiyah M,Alih Bentuk,Akademi Keperawatan Muhammadiyah Makassar,Swasta,1,
LBzjFw4Vi5trZXGffbU5XaA8WXuFOnrGOjfbuoU-pe3zGH5q-EeDLa2zoU9HpG5amyGBsg==,Kab. Bantul,Prov. D.I. Yogyakarta,Baik,,Aktif,Sekolah Tinggi Ilmu Kesehatan Bantul,Swasta,2,500.000 - 10.630.000
Y4O9fmRkTNVp8z5e7f3091c4jcppSrs4pPRhln2SyQ8cCBNSJbMC7HvHgWlp2-vpTK4IkA==,Kota Palembang,Prov. Sumatera Selatan,,,Pembinaan,Institut Agama Islam Widya Dharma Palembang,Agama,6,
NpWVcCqdDi1pYn5AUb3DDTLddjs9QTSKvYWhedRGdnMvmjCv3C4SqIcmTkTmPKc0vo3OHw==,Kab. Berau,Prov. Kalimantan Timur,Baik,STITM Tanjung Redeb,Aktif,Sekolah Tinggi Ilmu Tarbiyah Muhammadiyah Tanjung Redeb Berau,Agama,2,1.900.000 - 1.900.000
MceVrcR3sAnihL3rmY0ppBKjwA-6548uXfH3809h70NTj4eXxkLebE44mtvGNh8O0A-WHw==,Kota Semarang,Prov. Jawa Tengah,Baik,,Aktif,Sekolah Tinggi Ilmu Kesehatan Hakli,Swasta,7,4.800.000 - 4.800.000
abvQox-ZRYPkAFhOL3TqAAh07ioUUMqbwP3b-9UGnN0zyXoV2RdaoTmgDxzfpBGxpLBaWA==,Kota Yogyakarta,Prov. D.I. Yogyakarta,B,,Aktif,Sekolah Tinggi Ilmu Kesehatan Notokusumo Yogyakarta,Swasta,4,1.760.000 - 22.835.000
pImNuZzvfXslBfMgcVKmCVAJyHQw3hKzESzUMehNnzELH62_V0PcmLVYREoSXULORRuYHQ==,Kota Bogor,Prov. Jawa Barat,,,Aktif,Politeknik Prasetiya Mandiri,Swasta,13,
hAFwukbDN_3_wCdPavxC55Cg561mBljSrgVRrFh24Pmn6hPBG0B58FpP3bMkhh5FC4cqSw==,Kab. Sleman,Prov. D.I. Yogyakarta,,STIKES 'Aisyiyah Yog,Alih Bentuk,Sekolah Tinggi Ilmu Kesehatan Aisyiyah Yogyakarta,Swasta,6,
xc4IVp2nsdi7zEBenYNgK_P1RcUfc6-OG2kAV0SVOd-y4o_C8jWPs_CfhVW-m2j3Jt9IiA==,Tidak Diisi,Prov. D.I. Yogyakarta,,,Tutup,Akademi Kesejahteraan Sosial Tarakanita,Swasta,2,
bNs8-ooBmrGZMzowM_1H8jYNbk69JcW3i61PwlENPN_uBQ_BJBy45N1fMPC8OuDpgBvcxg==,Kota Denpasar,Prov. Bali,Baik,Primakara,Alih Bentuk,STMIK Primakara,Swasta,4,
z76GdyDr_MXIWG73AsD8sWgAfTbo_zqWTXMui3cnu3QPvXjrabTZBXhfo_QtD89Duj0DXA==,Kota Semarang,Prov. Jawa Tengah,Baik,AKFAR 17-08-1945,Aktif,Akademi Farmasi 17 Agustus 1945 Semarang,Swasta,1,3.750.000 - 30.750.000
ARInainkjkvWxK_R6s_8dgDsDuuU5RweyEUm1zLo4RLcUUhKwOQ6sqQhiAEgE3QbJyOl0g==,Kab. Maluku Tengah,Prov. Maluku,,STIA SP,Aktif,Sekolah Tinggi Ilmu Administrasi Said Perintah,Swasta,2,
Odlbxn-8Z6EO76RURT1gANuk_pfGjTgc_mk40wbH-GZxqJASdoWiNXaKez0Pnx4wTsffAQ==,Kota Bengkulu,Prov. Bengkulu,,STIESNU BENGKULU,Aktif,Sekolah Tinggi Ilmu Ekonomi Syariah Nahdlatul Ulama Bengkulu,Agama,2,
VgybjjjBdTxEieFtttuSqQqbUFatSMWXUWOx7pxWYPOF_CpgQNVZ4uKkwWctzxbxoHtWHg==,Kota Langsa,Prov. Aceh,,STAIN ZAWIYAH COT KA,Aktif,STAIN Zawiyah Cot Kala Langsa,Agama,16,
MEuFeOLWFjtq2gj2HNVu1WGPbhK1CNVjiIuOo5WN700rLIOp93ziBHnstKfzyfgLxZ7sKQ==,Kab. Manokwari,Prov. Papua Barat,Baik Sekali,UNIPA,Aktif,Universitas Papua,Negeri,65,
--lMrQ_DN7gxZB5a2Ogk-khQsuZjKNRIun4qWXO1I38tfHaWdPhhi-aPSKRd2MzDpfNEpg==,Kota Kendari,Prov. Sulawesi Tenggara,,STAH BGK,Aktif,Sekolah Tinggi Agama Hindu Bhatara Guru Kendari Sulawesi Tenggara ,Agama,2,1.000.000 - 1.000.000
noQOpbRgUGop-VOPhHxgiOzpMqJjqCKxOLeLX5BS-CZlmdF9EO_5p-9ICa1wZ7rIM9f9iw==,Kota tangerang Selatan,Prov. Banten,,,Tutup,STKIP Suluh Bangsa,Swasta,1,
RkSK-sMboeRX-QHMNdBiNcrY2LGyF6o2JHH8_ZUbMW45dYeGsGW61DsuDT6nCj5S6htlXw==,Kota Pangkalpinang,Prov. Bangka Belitung,Baik,ICI,Aktif,Institut Citra Internasional,Swasta,6,2.400.000 - 28.555.000
KudM-yi4ZyGii6SXQqQSASggvQz8oyDOjmdF98_szIOCV6JxCmZULfPnv7pU0jGVIohaPA==,Kota Surakarta,Prov. Jawa Tengah,,ABA Pignatelli,Alih Bentuk,Akademi Bahasa Asing St Pignatelli,Swasta,1,
UpMUvzWU-yQScL2ium_LChVokcGVoiD6O_2i9HOgP9BNRfYnEGGmI9kqYQQOBdHoY3p5Eg==,Kota Banda Aceh,Prov. Aceh,,STTIT,Aktif,Sekolah Tinggi Teknik Iskandar Thani,Swasta,3,
yLKDLHLh3XNI2T-SZ_qGXlg3Z858Kq4_4165wyjvcqJZ587OW2gcbhdQqstxaE3xH3kGkw==,Kota Medan,Prov. Sumatera Utara,,,Alih Bentuk,Akademi Kebidanan Imelda,Swasta,1,
6rwOUIfQtn4JKsZfZpdv7_esMDno3m4hjkGoLMgTIajX5KqKgHaKtRmG8O_Z63U9nZYTiA==,Kota Jayapura,Prov. Papua,,Uningrat Papua,Aktif,Universitas Doktor Husni Ingratubun Papua,Swasta,9,
zOdHs1TE2Lr-BXMcPxnHr-fNEgcevMNybPZ3RPOqaw27z7ICM1efkVbHk5YcCCOjjEGstA==,Kab. Mandailing Natal,Prov. Sumatera Utara,,AKADEMI KEBIDANAN NA,Alih Bentuk,Akademi Kebidanan Namira Madina Panyabungan,Swasta,1,
Os_shxIqWAt4MclkP9WJPGsd4KmgbbTDoBhO5WY-Pq228r4w76OsKp4ND9cZ59xkHAB_Sg==,Kab. Bantul,Prov. D.I. Yogyakarta,,Stikes Alma Ata Yogy,Alih Bentuk,Sekolah Tinggi Ilmu Kesehatan Alma Ata Yogyakarta,Swasta,4,
TY83I2xD_J-LFP8xLU_bQYtoEVsPY91dM5YWyKvSqi67GEwf0s6QJ4x3sxyC9Y_ZlfG-EA==,Kota tangerang Selatan,Prov. Banten,Baik Sekali,UNPAM,Aktif,Universitas Pamulang,Swasta,42,2.400.000 - 2.400.000
ZLU7CktXtbAMpOeUvyUYnqf8CgI9yz-Ux2RFrr1Jnxwd4DcTvKqpn5Jj8P-gryD6Bf_IJA==,Kab. Barru,Prov. Sulawesi Selatan,Baik,STAI Al Gazali Barru,Aktif,"STAI Al-Ghazali Barru, Sulawesi Selatan",Agama,1,
F6e1NhgqmM4Xt_F0S9zBEkqX9Qi4ETb0aRJLfw81MazntxgY5LqC98Hif5HQVGwdrM-2pg==,Kab. Bogor,Prov. Jawa Barat,,STSN / POLTEK SSN,Alih Bentuk,Sekolah Tinggi Sandi Negara,Kedinasan,5,
4q-fZ6mJCVlTSB1qyfS2mK1506YqKhzSIufHIUHcDQaHN_9ekqCWBWD_1G6v1oM9ww_eEA==,Kota Palembang,Prov. Sumatera Selatan,,,Aktif,Akd Teknik Radiodiag. Dan Radioterapi Widya Dharma,Swasta,1,
tsCcQ3DSXvR7_b2cLf37YTBEaG2-Cyz-ZqFWmBQb10t6PFMXjKtH4aSNkE9Wo6DbTTUZ1g==,Kab. Sorong Selatan,Prov. Papua Barat,Baik,UNSAR,Aktif,Universitas Werisar,Swasta,5,
zFoXuIumMJ4PWd6IDncLpjBMDHMSm2Xmu3O2HI5RVhIRfMgF5qun77DkwBgZAD0ldOQNAQ==,Kota Semarang,Prov. Jawa Tengah,,Akbid Karsa Mulia,Tutup,Akademi Kebidanan Karsa Mulia,Swasta,1,
okOIgXxUPNmVw6tKCIYaLTfpuQOz6aX63dXEzVvUKJ4e6XrRgzP5vIoJaYKyGaYc_EIARg==,Kab. Indramayu,Prov. Jawa Barat,Baik,STAIS DHARMA,Aktif,Sekolah Tinggi Agama Islam Pangeran Dharma Kusuma Segeran Indramayu,Agama,5,
5OIy7DVDe0HTmNElU_DLGOFar51WiJXrHqHYUajByKG68JIgUqx9jDE3IOAJjYwVZZ-BvA==,Kota Bandung,Prov. Jawa Barat,B,Universitas Inaba,Aktif,Universitas Indonesia Membangun,Swasta,7,50.000 - 18.000.000
fFHJrg-Ur9L8uh85UsdVY5XNcsAKHgxLvMrqZ_F1SUIvDN383wk-pfJ-m3rszhV8CjlcZw==,Kota Medan,Prov. Sumatera Utara,Baik,AMIK MEDICOM,Aktif,Akademi Informatika Dan Komputer Medicom,Swasta,3,2.000.000 - 4.000.000
hDO-y2-RO4hc_KyzLqCnkrC7-wyq2KXiBqf0TfktofnS5p_POjtlj_Yv8SM6o4Llne6MLg==,Kota Medan,Prov. Sumatera Utara,B,Poltek AMI Medan,Aktif,Politeknik Adiguna Maritim Indonesia Medan,Swasta,3,
LgdWn06oaeDd8-OWPmYvkYa2wE4BeCrns2_j6tNfJcvRYpa59WT9wZZIBayVoMl0LfU8qA==,Kota Jakarta Barat,Prov. D.K.I. Jakarta,,,Aktif,Politeknik Orang Tua,Swasta,3,
xbtcaIPsMumkA3h63ss4dArcPvUHlcOFzKLfpkrB7RgCsa4376AMUQ9SmwGy-YUPNqn47w==,Kab. Tasikmalaya,Prov. Jawa Barat,Baik,IAILM Suryalaya,Aktif,Institut Agama Islam Latifah Mubarokiyah (IAILM) Suryalaya Tasikmalaya,Agama,9,480.000 - 10.400.000
QKMtQY6daMBegOvDAZ_11yK2LwzHEvZz9rnX27-1Sgr507dSHwJn8jGio7TZXbJg70zltg==,Kota Bandung,Prov. Jawa Barat,Baik Sekali,,Aktif,Institut Seni Budaya Indonesia Bandung,Negeri,16,500.000 - 10.000.000
6nMMknaoMjS0ekWW_6R8mZgqTrqzwZgTOjZxiBvZUnKJN7DC3_Zs9apoOG-_piEOOqzhkQ==,Kota Bandung,Prov. Jawa Barat,Baik,Poltek Praktisi ,Aktif,Politeknik Praktisi Bandung,Swasta,3,720.000 - 7.200.000
NcUD2mFL_sZNzJzWF0GbqRmy-8_AP7OXLao2BGYpiVSAwG12acOOhpWgyNdXzB6kv4zNrA==,Kab. Maros,Prov. Sulawesi Selatan,Baik,YAPENAS MAROS,Aktif,Akademi Keperawatan Yapenas 21 Maros,Swasta,1,2.800.000 - 3.000.000
35jL-aQbgj_VG9bN_pAQ3kP2Mjr0z0gDiIi2ZvSIHugM-4rHHly1ynubbnvnrtE9D1I4uQ==,Kab. Minahasa,Prov. Sulawesi Utara,,,Aktif,Sekolah Tinggi Teologi Istto Hikmat Wahyu,Agama,2,
fd0OVqSaUGnHo6WoLASDehjZ60Z2PqRzrU_Sb9nTulAmFNEPItQUDTsawZi3tZ7Z1sUOhw==,Kab. Aceh Tenggara,Prov. Aceh,,,Tutup,Sekolah Tinggi Pertanian Gunung Leuser,Swasta,1,
ciXKSNL2NIhXNhhjgNFqVy5Lz7lO3nLg88_CF5b9X6FKtYHyTy6l6nSV-G2LboqJXRf7AA==,Kota Bekasi,Prov. Jawa Barat,Baik,STAI BANI SALEH,Aktif,STAI Bani Saleh Bekasi,Agama,3,
aMWZVYEoqKfqk-PEzPGH3YZV65tfTbSJ6EpVZ_pKQ-xuNrFyugnZ8ENFgNkIB9YvN90EVg==,Kota Bogor,Prov. Jawa Barat,B,IBI Kesatuan,Aktif,Institut Bisnis Dan Informatika Kesatuan,Swasta,13,
e3F4Yue3ybfjpx8csvez4gTLodnbvw8-cbc46mzx2WCqIuFzeA5jr3jsyZlJ72CxkmUi8Q==,Kota Bekasi,Prov. Jawa Barat,,STISIP BEKASI,Aktif,Sekolah Tinggi Ilmu Sosial Dan Ilmu Politik Bekasi,Swasta,2,
Ue9LTMmVIlkHOah7EyuZxdViwwH52pV87ibWndrQ-enYArA6jBiXh7ARQhxR0VwAoOWPBA==,Kab. Sumbawa,Prov. Nusa Tenggara Barat,,Akper Samawa,Alih Bentuk,Akademi Keperawatan Samawa,Swasta,1,
uUS7e2DGXMAU0yM0jmrBy_2fe9b3eWx72Q-B_lce0B_f2MtMtmsbA6dx-G4kghZtMRa8fw==,Kab. Indragiri Hilir,Prov. Riau,Baik,STIKES HUGE,Aktif,Sekolah Tinggi Ilmu Kesehatan Husada Gemilang,Swasta,2,4.500.000 - 5.400.000
Qj6T8xqEmUT61ciT--1WmQGcqKvdgF_RXJbhsk2IXIHsCMTTtXPyLPFvRhIILBz4U1U1_A==,Kota Batam,Prov. Kepulauan Riau,,STIKes Ibnu Sina Bat,Alih Bentuk,Sekolah Tinggi Ilmu Kesehatan Ibnu Sina Batam,Swasta,2,
CVWq1Ic0w-iuuBwLfzWx8DYS-Qt2byZeikzJ9GyeuWjv-UXhhYDXp-YgV251cpWyP0MpXw==,Kab. halmahera Utara,Prov. Maluku Utara,Baik Sekali,UNIERA,Aktif,Universitas Halmahera,Swasta,17,960.000 - 15.550.000
TsD355TU9Ctv6H1F-JZ-6hVA469pkyjCjsGZEseYx23XBu4KsJMjSg_ixFQ4luvAJG8Vcw==,Kab. Bekasi,Prov. Jawa Barat,,,Aktif,Sekolah Tinggi Ekonomi Islam Haji Abdul Malik Cikarang Barat,Agama,2,
wUcEQn4xz1HHfHOiYG-erdTc92oyJGXXglty3xmtmMnSLE905601JznnuNbjWVh2ru8B6A==,Kab. Bengkulu Selatan,Prov. Bengkulu,Baik,STITQ,Aktif,"STIT Al-Quraniyah, Manna, Bengkulu Selatan",Agama,4,
gdWSK1cGffnQtQPYOwfoJ1pyv7XwUdNKqIAvgweR0T7xDKg2qNC8r1RNgCRAXQS67IoEdA==,Kota Depok,Prov. Jawa Barat,Baik,STAISKA,Alih Bentuk,STAI Al-Karimiyah Sawangan Depok,Agama,7,
-fegvzkhuRLtPKoOlaebkoPttvoOA1R5w-Dt1BSHXNj-pcdMHcBnZPYNTusp68oURD9JzA==,Kota Semarang,Prov. Jawa Tengah,,AKPELNI,Alih Bentuk,Akademi Pelayaran Niaga Indonesia Semarang,Swasta,3,
7AhqyZ4-2gM_E4lkmUXiL8trXIYfPmgCClQaAGCKCbTGaJLDtIRCpKK7c1UJdNJrgKEfzQ==,Kota Jakarta Timur,Prov. D.K.I. Jakarta,,,Aktif,Sekolah Tinggi Teologi Parausorat Nauli Jakarta,Agama,3,
wbfqWMo_CLFQQjpscFK86LDboyhWmp_GQplcapPnQPeYtPgy3DMAjNNKA4UyKm_RiTNPxw==,Kab. Banyumas,Prov. Jawa Tengah,,AMIK Veteran,Alih Bentuk,AMIK Veteran Purwokerto,Swasta,2,
Nq09cPM_Fm9MwaUNqCIy-FdSLFzMq0OioqEiIcpwNvFS1ezHebbI18UMHRZ3O3Ev5BgDTQ==,Kab. Aceh Timur,Prov. Aceh,,AKUBANK NUSANTARA,Aktif,Akademi Keuangan Perbankan Nusantara,Swasta,1,2.400.000 - 2.400.000
ks7CkSDJ5YBpqsFJdnJTE882BW-bgRAkRrjNc6CQNra7lQ-b6eoD3hCncy4jZXAW5RKHoQ==,Kota Tangerang,Prov. Banten,,,Alih Bentuk,Sekolah Tinggi Pariwisata Pelita Harapan,Swasta,5,
cOzmdhHLSsRdsjirr_DKf6G29Tlfe9m3ieO99L-rwaQSGG4Q9u9ts8RQCzhK1uj-BR5NyA==,Kota Bandung,Prov. Jawa Barat,Baik Sekali,ITHB,Aktif,Institut Teknologi Harapan Bangsa,Swasta,8,1.450.000 - 16.950.000
0077UWtj-8WPwT5AFJmrF88f5f0RRCgWqlN4yeMVviE3vhdAXU5DsVlZtUsr12tPvGW0DA==,Kab. Rokan Hulu,Prov. Riau,Baik,STAI Tuanku Tambusai,Aktif,STAI Tuanku Tambusai,Agama,5,2.250.000 - 2.250.000
